logFC	logCPM	F	PValue	gene	site	construct	author_n_treated	author_n_control	gene_identity	q_within_contrast	ci_lower	ci_upper	ci_reason	q_global4
-0.000776026769197756	2.40410319357653	2.78615204916182e-05	0.995859399733451	Mob3a	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.999672107592913	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.998616716991176
0.0482410507295222	3.29826469991151	0.0864963587668529	0.772799538377553	Mob3b	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.90169447605306
0.00656020573228981	2.83555911619322	0.00123190238192657	0.972474316488933	Mob3c	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.988961697259969
0.0956211246184031	9.12864801093497	0.505337719563891	0.488312428828008	Mob4	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.72656693383705
-0.351988162316881	0.994369794428982	2.91835145664392	0.108622638754156	Mocos	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.31427239692657
-0.057551079334252	6.67981615978861	0.34827730296402	0.564012997638877	Mocs2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.781091512775864
-0.283994579782573	0.110820434166362	1.07790320972627	0.31597665723072	Mocs3	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.581421606769945
0.0197102792262645	4.06060010186021	0.00777021410567562	0.93095036973155	Mogs	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.972062671793112
-0.287146003257791	1.98544249585309	2.62753430903426	0.126313579655423	Mon1a	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.344660823565545
-0.111861615915164	3.74638865686737	1.30759660042595	0.271031190577319	Mon1b	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.534700825701893
-0.0409526267163873	5.79271046104283	0.131254559583453	0.722300473952446	Mon2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.87596858964673
0.0284048754424062	5.73717661172163	0.0513473107034763	0.823862152343268	Morc2a	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.925157451097076
0.0405157089069331	6.95565086359238	0.10921375823086	0.745713270989671	Morc3	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.88779368298794
0.178426023975825	5.8064111927199	2.63280833087086	0.125963215355241	Morc4	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.344219771565628
