cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	previous_n	previous_effect	previous_p	previous_q	original_CAMP_g	original_CAMP_q	seed	bootstrap_valid	p_origin	design_condition	effect_change	q_threshold_changed
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_PC12	KEGG:C00049	aspartate	ASNS	author_case_row	60.0	NA	partial_rank_correlation	-0.0126684314156536	-0.2781378753192274	0.2518706653391828	0.9222	0.9669272727272727	available_ER_PC12	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00049|ASNS	61.0	-0.0338017771198525	0.7981	0.8748403846153847	1.54594696706781	3.98041506834046e-09	2947427984.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.77606183259292	0.0211333457041988	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_MonoEndoFib	KEGG:C00049	aspartate	ASNS	author_case_row	60.0	NA	partial_rank_correlation	0.0623226291209614	-0.2152603293041566	0.3075058765779785	0.6473	0.8718466666666667	available_ER_MonoEndoFib	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00049|ASNS	61.0	0.0429418419575746	0.7542	0.9382935483870968	1.54594696706781	3.98041506834046e-09	1970934076.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	2.5161007870503527	0.0193807871633868	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_Spearman	KEGG:C00064	glutamine	ASNS	author_case_row	60.0	NA	Spearman_rho	-0.4397888302306197	-0.6320325827869804	-0.2029944909168789	0.0005	0.0146571428571428	processed_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	61.0	-0.4305129561078794	0.0007	0.01995	-1.64592808836308	1.000340954773e-10	790026704.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	-0.0092758741227403	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_Spearman	KEGG:C00064	glutamine	ASNS	author_case_row	60.0	NA	Spearman_rho	-0.4397888302306197	-0.620087771458352	-0.2014354366494602	0.0006	0.0219857142857142	available_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	61.0	-0.4305129561078794	0.0008	0.0268714285714285	-1.64592808836308	1.000340954773e-10	92242170.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	-0.0092758741227403	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_ER	KEGG:C00064	glutamine	ASNS	author_case_row	60.0	NA	partial_rank_correlation	-0.4080733954042387	-0.5530792151840607	-0.141184098964323	0.0019	0.0488571428571428	processed_ER	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	61.0	-0.3948321624319598	0.0019	0.0534375	-1.64592808836308	1.000340954773e-10	2911221876.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.0000000000000002	-0.0132412329722789	True
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER	KEGG:C00064	glutamine	ASNS	author_case_row	60.0	NA	partial_rank_correlation	-0.4080733954042387	-0.5873374889702779	-0.1972244146253197	0.0022	0.047025	available_ER	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	61.0	-0.3948321624319598	0.0019	0.0534375	-1.64592808836308	1.000340954773e-10	4189443450.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.0000000000000002	-0.0132412329722789	True
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_PC12	KEGG:C00064	glutamine	ASNS	author_case_row	60.0	NA	partial_rank_correlation	-0.2307546660820064	-0.4493269721314657	0.0105210229140676	0.0811	0.4952892857142857	available_ER_PC12	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	61.0	-0.2272883829107433	0.0912	0.5198400000000001	-1.64592808836308	1.000340954773e-10	3919574260.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.77606183259292	-0.0034662831712631	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_MonoEndoFib	KEGG:C00064	glutamine	ASNS	author_case_row	60.0	NA	partial_rank_correlation	-0.3277142554766909	-0.5339030723310485	-0.1089974731217503	0.0104	0.2540571428571428	available_ER_MonoEndoFib	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	61.0	-0.3228805368862193	0.0108	0.2931428571428571	-1.64592808836308	1.000340954773e-10	1677696881.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	2.5161007870503527	-0.0048337185904716	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_Spearman	KEGG:C00064	glutamine	GLS	author_case_row	60.0	NA	Spearman_rho	-0.2172825784940261	-0.4547115637220345	0.0496103650396853	0.0979	0.2575523076923077	processed_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLS	61.0	-0.2111581173982019	0.1046	0.2592260869565218	-1.64592808836308	1.000340954773e-10	3194632901.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	-0.0061244610958242	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_Spearman	KEGG:C00064	glutamine	GLS	author_case_row	60.0	NA	Spearman_rho	-0.2172825784940261	-0.4644165064348806	0.0558689155635353	0.0947	0.2792017241379311	available_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLS	61.0	-0.2111581173982019	0.1038	0.2817428571428571	-1.64592808836308	1.000340954773e-10	2032253961.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	-0.0061244610958242	False
