feature_id	metabolite_key	metabolite_name	n_direct_relations	status	reason
GBM_FEATURE:7d49b84f34551dc2	NAME:HexCer(d18:1/26:0)	HexCer(d18:1/26:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bf691b754032e383	NAME:HexCer(d18:1/26:1)_A	HexCer(d18:1/26:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:efd07aea034ccd03	NAME:HexCer(d18:1/26:1)_B	HexCer(d18:1/26:1)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b035459af22f5f01	KEGG:C01290	LacCer(d18:1/24:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9146a48a9b10812a	NAME:PC(0:0/14:0)_A	PC(0:0/14:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3765bc542a7de383	NAME:PC(0:0/14:0)_B	PC(0:0/14:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c7e57de854d39334	NAME:PC(0:0/16:0)_A	PC(0:0/16:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:67eea1557893b90d	NAME:PC(0:0/16:0)_B	PC(0:0/16:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d55d70e9862ceb2a	NAME:PC(0:0/18:0)_B	PC(0:0/18:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a24923defd74a116	NAME:PC(0:0/18:1)_A	PC(0:0/18:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3f313e0fb801ba8c	NAME:PC(0:0/18:1)_B	PC(0:0/18:1)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:14d11b39256f5f1d	NAME:PC(0:0/20:4)_A	PC(0:0/20:4)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:68670ba21bd6b5a6	NAME:PC(0:0/20:4)_B	PC(0:0/20:4)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8dbcac70e4037341	KEGG:C00157	PC(14:0/14:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:11b22232062f65be	KEGG:C00157	PC(14:0/15:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2af7b21f369df6a4	HMDB:HMDB07869	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:af8ae85638a3ac83	NAME:PC(14:0/16:1)_A	PC(14:0/16:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d0148435cf0d6da7	NAME:PC(14:0/16:1)_C	PC(14:0/16:1)_C	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:f87a7b93589f4215	HMDB:HMDB07883	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:aa7648174386143b	KEGG:C00157	PC(14:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9f085519e131fff3	KEGG:C00157	PC(14:1/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6b11cc8d3b05d430	NAME:PC(15:0/16:0)_A	PC(15:0/16:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:64f1df67280688ef	NAME:PC(15:0/16:0)_B	PC(15:0/16:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8a9a3b22ed5eadd3	NAME:PC(15:0/16:1)_A	PC(15:0/16:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9aa824a58f96cf8d	NAME:PC(15:0/16:1)_B	PC(15:0/16:1)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:eaae41e0e52dfba2	KEGG:C00157	PC(15:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6bef29f95e898c19	KEGG:C00157	PC(15:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:5232366bacb42cc0	NAME:PC(16:0/16:0)_A	PC(16:0/16:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ea54e2bab7ca345a	NAME:PC(16:0/16:0)_B	PC(16:0/16:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9ce009c7d03044db	NAME:PC(16:0/16:1)_A;PC(14:0/18:1)	PC(16:0/16:1)_A;PC(14:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:f849ac048a0435c2	NAME:PC(16:0/16:1)_B	PC(16:0/16:1)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3840eeb96b95afb3	NAME:PC(16:0/16:1)_C	PC(16:0/16:1)_C	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bcfaf74edfe2e872	NAME:PC(16:0/17:0)	PC(16:0/17:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b2e65c84178348b8	NAME:PC(16:0/17:1);PC(15:0/18:1)	PC(16:0/17:1);PC(15:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:4543c8ca47f9230b	KEGG:C03889	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:00c9cd7942b33cc9	KEGG:C00157	PC(16:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ea7feb7138704bd7	NAME:PC(16:0/18:2)_A	PC(16:0/18:2)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2bd58e0f79a7018c	NAME:PC(16:0/18:2)_B	PC(16:0/18:2)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:050298d4b7c11dbf	NAME:PC(16:0/18:3)_A;PC(16:1/18:2)_B	PC(16:0/18:3)_A;PC(16:1/18:2)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c57efc091648d531	NAME:PC(16:0/20:3)_B	PC(16:0/20:3)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:1f8ae24ff51cf646	HMDB:HMDB07982	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:84035457839cea60	NAME:PC(16:0/22:1);PC(18:0/20:1)	PC(16:0/22:1);PC(18:0/20:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b12277e53751928d	KEGG:C00157	PC(16:0/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:625043662f996d08	KEGG:C00157	PC(16:0/22:5)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:dfc7f22d0952f1c3	HMDB:HMDB07991	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6530d019e13f583a	KEGG:C00157	PC(16:0/24:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d4bcf83d3229d522	NAME:PC(16:0/26:0)	PC(16:0/26:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d5b968cb5851a2de	NAME:PC(16:0/26:1);PC(18:1/24:0)	PC(16:0/26:1);PC(18:1/24:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c14c6806090ecce8	NAME:PC(16:1/0:0)_A	PC(16:1/0:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d8904c4d9e06f1c1	NAME:PC(16:1/0:0)_B	PC(16:1/0:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
