cohort	gene	n_feature_matches	status	reason
Pal2021_reprocessed	SOAT1	1	DONE	
Pal2021_reprocessed	SOAT2	1	DONE	
Pal2021_reprocessed	SORD	1	DONE	
Pal2021_reprocessed	SPHK1	1	DONE	
Pal2021_reprocessed	SPHK2	1	DONE	
Pal2021_reprocessed	SQLE	1	DONE	
Pal2021_reprocessed	TAT	1	DONE	
Pal2021_reprocessed	UPB1	1	DONE	
Pal2021_reprocessed	UPP1	1	DONE	
Pal2021_reprocessed	UPP2	1	DONE	
