module_id	module	gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
M01	氨基酸氮分配与谷氨酸分支	OTC	Wu2021	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Endothelial	24	0.003938575616220473	NA
M01	氨基酸氮分配与谷氨酸分支	OTC	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Endothelial	23	0.00031055900621118014	NA
M02	乙醇胺至磷酸乙醇胺短链	CHKA	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.20915045892899614	0.905
M02	乙醇胺至磷酸乙醇胺短链	CHKA	Pal2021_reprocessed	DONE	NA	Mast_cells	Mast_cells	12	0.039814390917028805	0.447
M02	乙醇胺至磷酸乙醇胺短链	CHKB	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.0830120666502571	0.833
M02	乙醇胺至磷酸乙醇胺短链	CHKB	Pal2021_reprocessed	DONE	NA	Fibroblasts	Fibroblasts	30	0.028556890670259374	0.567
M02	乙醇胺至磷酸乙醇胺短链	ETNK1	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.3576991814771576	0.611
M02	乙醇胺至磷酸乙醇胺短链	ETNK1	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.1220671235418073	0.774
M02	乙醇胺至磷酸乙醇胺短链	ETNK2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.11918172112648087	0.902
M02	乙醇胺至磷酸乙醇胺短链	ETNK2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.08934752286807657	1.0
M02	乙醇胺至磷酸乙醇胺短链	PCYT2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.24641499391233546	0.998
M02	乙醇胺至磷酸乙醇胺短链	PCYT2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.11297084774900562	0.997
M03	胆碱与溶血磷脂重塑背景	CHKA	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.20915045892899614	0.905
M03	胆碱与溶血磷脂重塑背景	CHKA	Pal2021_reprocessed	DONE	NA	Mast_cells	Mast_cells	12	0.039814390917028805	0.447
M03	胆碱与溶血磷脂重塑背景	CHKB	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.0830120666502571	0.833
M03	胆碱与溶血磷脂重塑背景	CHKB	Pal2021_reprocessed	DONE	NA	Fibroblasts	Fibroblasts	30	0.028556890670259374	0.567
M03	胆碱与溶血磷脂重塑背景	GDPD5	Wu2021	DONE	NA	Endothelial	Endothelial	24	0.0648705901083636	0.935
M03	胆碱与溶血磷脂重塑背景	GDPD5	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.05308516652857115	0.999
M03	胆碱与溶血磷脂重塑背景	GPCPD1	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.2711731456654018	0.998
M03	胆碱与溶血磷脂重塑背景	GPCPD1	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.16136437726453365	0.996
M03	胆碱与溶血磷脂重塑背景	SLC22A2	Wu2021	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Perivascular	24	0.0006621103708613322	NA
M03	胆碱与溶血磷脂重塑背景	SLC22A2	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Perivascular	15	0.0009389939622497761	NA
M03	胆碱与溶血磷脂重塑背景	CEPT1	Wu2021	DONE	NA	B_cells	B_cells	20	0.08120934984430635	0.946
M03	胆碱与溶血磷脂重塑背景	CEPT1	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.07953414103276377	0.721
M03	胆碱与溶血磷脂重塑背景	CHPT1	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.45044259361814865	0.996
M03	胆碱与溶血磷脂重塑背景	CHPT1	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.30372043883225386	1.0
M03	胆碱与溶血磷脂重塑背景	PCYT1A	Wu2021	DONE	NA	Endothelial	Endothelial	24	0.12231150316964283	0.854
M03	胆碱与溶血磷脂重塑背景	PCYT1A	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.09327181623835774	0.934
M03	胆碱与溶血磷脂重塑背景	PCYT1B	Wu2021	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Nonmalignant_epithelial	10	0.005182984123908408	NA
M03	胆碱与溶血磷脂重塑背景	PCYT1B	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Fibroblasts	30	0.000981351263564329	NA
M03	胆碱与溶血磷脂重塑背景	LYPLA1	Wu2021	DONE		Malignant_epithelial	Malignant_epithelial	20	0.6060192987299409	1.0
M03	胆碱与溶血磷脂重塑背景	LYPLA1	Pal2021_reprocessed	DONE		Malignant_epithelial	Malignant_epithelial	33	0.41780489889559347	1.0
M03	胆碱与溶血磷脂重塑背景	LYPLA2	Wu2021	DONE		Malignant_epithelial	Malignant_epithelial	20	0.4157441859752439	1.0
M03	胆碱与溶血磷脂重塑背景	LYPLA2	Pal2021_reprocessed	DONE		Malignant_epithelial	Malignant_epithelial	33	0.20347354508123644	0.996
M03	胆碱与溶血磷脂重塑背景	ENPP2	Wu2021	DONE		Endothelial	Endothelial	24	0.2899376535963007	1.0
M03	胆碱与溶血磷脂重塑背景	ENPP2	Pal2021_reprocessed	DONE		Endothelial	Endothelial	23	0.14891889960381532	1.0
M03	胆碱与溶血磷脂重塑背景	LPCAT1	Wu2021	DONE		Myeloid	Myeloid	26	0.11586232405889303	0.853
M03	胆碱与溶血磷脂重塑背景	LPCAT1	Pal2021_reprocessed	DONE		Endothelial	Endothelial	23	0.07512762736120684	0.79
M03	胆碱与溶血磷脂重塑背景	LPCAT2	Wu2021	DONE		Myeloid	Myeloid	26	0.27291867723581037	0.931
M03	胆碱与溶血磷脂重塑背景	LPCAT2	Pal2021_reprocessed	DONE		Mast_cells	Mast_cells	12	0.14578204408603065	0.992
M03	胆碱与溶血磷脂重塑背景	LPCAT3	Wu2021	DONE		Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.3003918894827421	0.7
M03	胆碱与溶血磷脂重塑背景	LPCAT3	Pal2021_reprocessed	DONE		Malignant_epithelial	Malignant_epithelial	33	0.1243857406821653	0.999
M03	胆碱与溶血磷脂重塑背景	LPCAT4	Wu2021	DONE		Endothelial	Endothelial	24	0.22856766221082636	1.0
M03	胆碱与溶血磷脂重塑背景	LPCAT4	Pal2021_reprocessed	DONE		Endothelial	Endothelial	23	0.07070519953044238	0.999
M03	胆碱与溶血磷脂重塑背景	ABHD12	Wu2021	DONE		Myeloid	Myeloid	26	0.3650958058389028	1.0
M03	胆碱与溶血磷脂重塑背景	ABHD12	Pal2021_reprocessed	DONE		Myeloid	Myeloid	30	0.1929072555594944	1.0
M04	嘌呤降解与回收背景	ADA	Wu2021	DONE	NA	Endothelial	Endothelial	24	0.1402325345121873	0.835
M04	嘌呤降解与回收背景	ADA	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.05665600345817483	0.734
M04	嘌呤降解与回收背景	ADA2	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.40997838875943426	1.0
M04	嘌呤降解与回收背景	ADA2	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.2741744657592467	1.0
M04	嘌呤降解与回收背景	AHCY	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.5379956558543251	0.714
M04	嘌呤降解与回收背景	AHCY	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.24862902674218015	1.0
M04	嘌呤降解与回收背景	SLC29A2	Wu2021	DONE		Malignant_epithelial	Malignant_epithelial	20	0.10825403506589722	0.998
M04	嘌呤降解与回收背景	SLC29A2	Pal2021_reprocessed	DONE		Malignant_epithelial	Malignant_epithelial	33	0.05232978542222368	0.961
M04	嘌呤降解与回收背景	NT5C2	Wu2021	DONE		Myeloid	Myeloid	26	0.1333739435694144	0.776
M04	嘌呤降解与回收背景	NT5C2	Pal2021_reprocessed	DONE		Endothelial	Endothelial	23	0.06896657521635786	0.941
M04	嘌呤降解与回收背景	PNP	Wu2021	DONE	NA	Endothelial	Endothelial	24	0.4701804152643045	1.0
M04	嘌呤降解与回收背景	PNP	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.23696620764224768	1.0
M04	嘌呤降解与回收背景	HPRT1	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.3660080658480825	0.825
M04	嘌呤降解与回收背景	HPRT1	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.19798263622995974	0.548
M04	嘌呤降解与回收背景	GDA	Wu2021	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	B_cells	20	0.00047619047619047624	NA
M04	嘌呤降解与回收背景	GDA	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Mast_cells	12	0.0006887052341597796	NA
M05	丝氨酸甘氨酸与同工酶相反RNA	SHMT1	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.17002799430317922	0.885
M05	丝氨酸甘氨酸与同工酶相反RNA	SHMT1	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.05482723270192949	0.895
M05	丝氨酸甘氨酸与同工酶相反RNA	SHMT2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.3325361491556528	0.995
M05	丝氨酸甘氨酸与同工酶相反RNA	SHMT2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.16337946232255743	0.915
M05	丝氨酸甘氨酸与同工酶相反RNA	GSS	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.2997292943829862	0.849
M05	丝氨酸甘氨酸与同工酶相反RNA	GSS	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.1294909857190932	0.99
M05	丝氨酸甘氨酸与同工酶相反RNA	PEPD	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.3122209279984801	0.933
M05	丝氨酸甘氨酸与同工酶相反RNA	PEPD	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.15632231468112964	0.608
M06	烟酰胺与甲基化产物	NAMPT	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.6640439890214732	1.0
