module_id	module	gene	n_shared_celltypes	interpretation	ER+_status	ER+_reason	ER+_top	ER+_second	ER+_effect	ER+_gap	ER+_n	ER+_detection	ER+_top_cn	ER+_shared_top	ER+_shared_status	HER2+_status	HER2+_reason	HER2+_top	HER2+_second	HER2+_effect	HER2+_gap	HER2+_n	HER2+_detection	HER2+_top_cn	HER2+_shared_top	HER2+_shared_status	TNBC_status	TNBC_reason	TNBC_top	TNBC_second	TNBC_effect	TNBC_gap	TNBC_n	TNBC_detection	TNBC_top_cn	TNBC_shared_top	TNBC_shared_status	same_top_all3	same_top_shared3	status	pattern	equal_subtype_top	omit_ER+_top	omit_HER2+_top	omit_TNBC_top	omit_one_equal_subtype_top_changes
M01	氨基酸氮分配与谷氨酸分支	ODC1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		B_cells	T_NK_cells	0.3981178492086077	0.0734614629542773	8	0.2048221220911287	B细胞	B_cells	DONE	DONE		B_cells	T_NK_cells	0.6959297262217816	0.14832331383728747	5	0.3711232061875523	B细胞	B_cells	DONE	DONE		T_NK_cells	Malignant_epithelial	0.3767619563874425	0.027102973254867768	10	0.2060960861476193	T/NK细胞	T_NK_cells	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	B_cells	B_cells	T_NK_cells	B_cells	True
M01	氨基酸氮分配与谷氨酸分支	OTC	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0043537436050167	0.004271460396836229	11	0.0036298305941544	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0014578457200934	0.0014578457200934	4	0.0075757575757575	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.003581496658506	0.003581496658506	9	0.0026994053278402	不可判定	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
M02	乙醇胺至磷酸乙醇胺短链	CHKA	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Myeloid	0.1471466320790615	0.034077189488970414	4	0.2554872817516146	非恶性上皮	Myeloid	DONE	DONE		Malignant_epithelial	Myeloid	0.1516888238567835	0.022439812145536114	3	0.326286291836504	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1551837375579702	0.046692280255979615	4	0.1873718858404288	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Myeloid	True
M02	乙醇胺至磷酸乙醇胺短链	CHKB	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Fibroblasts	Myeloid	0.0743807073578302	0.007526980447498902	9	0.0787586734621268	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	B_cells	0.0879748814920566	0.016746881510324996	5	0.1456891954257409	成纤维细胞	Fibroblasts	DONE	DONE		T_NK_cells	Fibroblasts	0.0661102781252981	0.009365268088848598	10	0.0415660199803361	T/NK细胞	T_NK_cells	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	False
M02	乙醇胺至磷酸乙醇胺短链	ETNK1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.3098503947696755	0.06330519981599733	9	0.3565720437783698	恶性上皮	Malignant_epithelial	DONE	DONE		B_cells	Endothelial	0.3416539444164749	0.05054839372973391	5	0.2162132448101023	B细胞	B_cells	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.2568047489610087	0.028855690105896892	4	0.2926104879037707	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M02	乙醇胺至磷酸乙醇胺短链	ETNK2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.15861364555794	0.0643168499589404	9	0.2112153925987527	恶性上皮	Malignant_epithelial	DONE	DONE		Fibroblasts	Malignant_epithelial	0.0451744708829884	0.0291393203268486	5	0.0514182423285807	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Nonmalignant_epithelial	0.0305530442107668	0.005238527141187003	9	0.0301471574117199	成纤维细胞	Fibroblasts	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Fibroblasts	Malignant_epithelial	Malignant_epithelial	True
M02	乙醇胺至磷酸乙醇胺短链	PCYT2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1157163224569418	0.016031176080149895	9	0.1684861049520346	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.1938529457317959	0.1398921486266744	3	0.3873706392148988	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2111762582106585	0.1651110047587212	8	0.2812266270042125	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M03	胆碱与溶血磷脂重塑背景	CHKA	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Myeloid	0.1471466320790615	0.034077189488970414	4	0.2554872817516146	非恶性上皮	Myeloid	DONE	DONE		Malignant_epithelial	Myeloid	0.1516888238567835	0.022439812145536114	3	0.326286291836504	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1551837375579702	0.046692280255979615	4	0.1873718858404288	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Myeloid	True
M03	胆碱与溶血磷脂重塑背景	CHKB	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Fibroblasts	Myeloid	0.0743807073578302	0.007526980447498902	9	0.0787586734621268	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	B_cells	0.0879748814920566	0.016746881510324996	5	0.1456891954257409	成纤维细胞	Fibroblasts	DONE	DONE		T_NK_cells	Fibroblasts	0.0661102781252981	0.009365268088848598	10	0.0415660199803361	T/NK细胞	T_NK_cells	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	False
M03	胆碱与溶血磷脂重塑背景	GDPD5	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Malignant_epithelial	0.054042035381591	0.007900972987192598	11	0.0556296003885362	内皮细胞	Endothelial	DONE	DONE		Endothelial	T_NK_cells	0.0921768614289129	0.0639155559362851	4	0.0978455951519824	内皮细胞	Endothelial	DONE	DONE		Endothelial	B_cells	0.0536623616715067	0.016934660399653606	9	0.0615095753020997	内皮细胞	Endothelial	DONE	True	True	DONE	SAME_TOP	Endothelial	Endothelial	Endothelial	Endothelial	False
M03	胆碱与溶血磷脂重塑背景	GPCPD1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Nonmalignant_epithelial	0.2477849570084614	0.05820747257429221	11	0.2136051309583509	髓系细胞	Myeloid	DONE	DONE		Myeloid	Endothelial	0.4536044246349629	0.15861861337701283	5	0.4554020085730071	髓系细胞	Myeloid	DONE	DONE		Myeloid	B_cells	0.2837982152692359	0.11397130062352928	10	0.2423835303893551	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
M03	胆碱与溶血磷脂重塑背景	SLC22A2	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0011567077115357	0.000581482290749	9	0.001447264992833	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0005565629722442	0.0005565629722442	5	0.0021871280734806	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0019311742583814	0.0016481134737729999	9	0.0008680555555555	不可判定	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
M03	胆碱与溶血磷脂重塑背景	CEPT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		B_cells	Malignant_epithelial	0.1296236611644051	0.021717828811397097	8	0.0772406584351645	B细胞	B_cells	DONE	DONE		B_cells	Myeloid	0.1510479610846184	0.0263659299574142	5	0.0937420138542226	B细胞	B_cells	DONE	DONE		B_cells	Myeloid	0.1115977997917812	0.0135414193899277	7	0.0767930943048138	B细胞	B_cells	DONE	True	True	DONE	SAME_TOP	B_cells	B_cells	B_cells	B_cells	False
M03	胆碱与溶血磷脂重塑背景	CHPT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.7593918040198067	0.27145467460907335	4	0.6028519015197065	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.2478061195218136	0.05505242591279641	3	0.3715782783064489	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.3628017786087607	0.14373714952583974	4	0.3750666381342824	非恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
