gene	entrez_id	n_unambiguous_probes	probe_ids	status	reason
PCYT2	5833	2	209577_at;230044_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PEPD	5184	1	202108_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PFKL	5211	2	201102_s_at;211065_x_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PFKM	5213	1	210976_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PFKP	5214	2	201037_at;240202_x_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PGD	5226	3	1560942_at;1560943_s_at;201118_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PGM3	5238	2	210041_s_at;221788_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PMM1	5372	1	203467_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PMM2	5373	1	203201_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PNP	4860	1	201695_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PPA1	5464	1	217848_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PPA2	27068	5	1554499_s_at;1556284_at;1556285_s_at;1559496_at;220741_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PRODH	5625	0		NOT_EVALUABLE	no_unique_Entrez_probes
PRODH2	58510	2	216696_s_at;243614_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PYCR1	5831	1	202148_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
PYCR2	29920	0		NOT_EVALUABLE	no_unique_Entrez_probes
PYCR3	65263	1	218944_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
RBKS	64080	2	219222_at;57540_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
RFK	55312	2	203224_at;203225_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SHMT1	6470	2	217304_at;231701_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SHMT2	6472	3	214095_at;214096_s_at;214437_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SLC6A6	6533	5	205920_at;205921_s_at;211030_s_at;228754_at;228756_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SLC6A8	6535	3	202219_at;210854_x_at;213843_x_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SLC7A11	23657	3	207528_s_at;209921_at;217678_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SOAT1	6646	3	221561_at;228479_at;244661_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SOAT2	8435	1	210677_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SORD	6652	3	201562_s_at;201563_at;230782_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SPHK1	8877	1	219257_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SPHK2	56848	2	209857_s_at;40273_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
SQLE	6713	4	1557352_at;209218_at;213562_s_at;213577_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
TAT	6898	3	1555189_a_at;206916_x_at;214413_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
UPB1	51733	4	220507_s_at;224042_at;224043_s_at;228219_s_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
UPP1	7378	1	203234_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
UPP2	151531	2	231376_at;233155_at	DONE	median_all_probes_unique_Entrez_mapping;no_outcome_selection
