human_gene_id	gene	direct_relations	metabolites	legacy_RNA_status	prior_35gene_scRNA_panel	current_RNA_analysis	current_scRNA_analysis
hsa:9153	SLC28A2	4	adenosine;guanosine;inosine;uridine	DONE	False	NOT_RUN	NOT_RUN
hsa:9154	SLC28A1	2	adenosine;uridine	DONE	False	NOT_RUN	NOT_RUN
hsa:91749	SLC60A2	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:9194	SLC16A7	2	3-hydroxybutyrate (BHBA);4-methyl-2-oxopentanoate	DONE	False	NOT_RUN	NOT_RUN
hsa:92579	G6PC3	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:93034	NT5C1B	1	adenosine	DONE	False	NOT_RUN	NOT_RUN
hsa:9331	B4GALT6	1	uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:9334	B4GALT5	1	uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:9365	KL	1	glucuronate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:9376	SLC22A8	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:94097	SFXN5	1	citrate	DONE	False	NOT_RUN	NOT_RUN
hsa:9429	ABCG2	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:9446	GSTO1	1	glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:9468	PCYT1B	1	cytidine 5'-diphosphocholine	DONE	False	NOT_RUN	NOT_RUN
hsa:9489	PGS1	1	cytidine 5'-monophosphate (5'-CMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:953	ENTPD1	5	cytidine 5'-monophosphate (5'-CMP);guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP);uridine 5'-diphosphate (UDP);uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:955	ENTPD6	4	guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP);uridine 5'-diphosphate (UDP);uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:956	ENTPD3	5	cytidine 5'-monophosphate (5'-CMP);guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP);uridine 5'-diphosphate (UDP);uridine 5'-monophosphate (UMP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:9562	MINPP1	1	2-phosphoglycerate	DONE	False	NOT_RUN	NOT_RUN
hsa:9563	H6PD	2	6-phosphogluconate;glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:957	ENTPD5	5	cytidine 5'-monophosphate (5'-CMP);guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP);uridine 5'-diphosphate (UDP);uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:9583	ENTPD4	3	guanosine 5'- diphosphate (GDP);uridine 5'-diphosphate (UDP);uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:9588	PRDX6	1	glutathione, reduced (GSH)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:9615	GDA	2	guanine;xanthine	DONE	False	NOT_RUN	NOT_RUN
hsa:9673	SLC25A44	1	leucine	DONE	False	NOT_RUN	NOT_RUN
hsa:978	CDA	1	uridine	DONE	False	NOT_RUN	NOT_RUN
hsa:9945	GFPT2	1	glutamine	DONE	False	NOT_RUN	NOT_RUN
hsa:9963	SLC23A1	1	urate	DONE	False	NOT_RUN	NOT_RUN
