cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	relation_id	family_n_planned	reused_from	n_up	n_down	n_equal	median_difference	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_valid	random_seed	proportion_up	proportion_down
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	GADL1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.4478817855282088	-0.7869661634298126	-0.108797407626605	0.011244153278338795	0.018152786640578306	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:339896	GADL1	COAD|NA|NA|hsa:339896	526	NA	12.0	21.0	0.0	-0.3135646219527395	-0.8020406922730635	-0.15602789658882305	4000.0	3280065438.0	0.36363636363636365	0.6363636363636364
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	UPB1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.5575881788123968	-0.9900655368101333	-0.12511082081466018	0.013137584002114759	0.020564911127930397	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:51733	UPB1	COAD|NA|NA|hsa:51733	526	NA	9.0	24.0	0.0	-0.48303759939665003	-0.967991218079294	-0.1550243817677341	4000.0	936888291.0	0.2727272727272727	0.7272727272727273
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	CARNS1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.44691299389463335	-0.8937796471712592	-4.634061800745659e-05	0.04997763393079216	0.06918946632891924	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:57571	CARNS1	COAD|NA|NA|hsa:57571	526	NA	13.0	20.0	0.0	-0.5955096654893994	-0.8688884039345148	-0.025041542840095795	4000.0	2606682938.0	0.3939393939393939	0.6060606060606061
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	AGXT2	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.5258507161057603	-0.9056367327954016	-0.14606469941611905	0.008169549666468814	0.013571993800746578	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:64902	AGXT2	COAD|NA|NA|hsa:64902	526	NA	11.0	22.0	0.0	-0.4150374992788399	-0.903000041920572	-0.17129830502018098	4000.0	2324952120.0	0.3333333333333333	0.6666666666666666
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC6A6	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	2.569528912012918	2.1052121451408055	3.0338456788850308	1.1186975636706886e-12	7.630356979195547e-11	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6533	SLC6A6	COAD|NA|NA|hsa:6533	526	NA	32.0	1.0	0.0	2.5751064954016805	2.133185746494516	3.0205554246826094	4000.0	1322028376.0	0.9696969696969697	0.030303030303030304
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC6A11	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.5568777088193478	-0.9871491891818047	-0.12660622845689096	0.012821808150069567	0.020255310421122167	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6538	SLC6A11	COAD|NA|NA|hsa:6538	526	NA	10.0	23.0	0.0	-0.6192556782750298	-0.9574264292516432	-0.12964112722707996	4000.0	2710083190.0	0.30303030303030304	0.696969696969697
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC6A13	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.6652138869721068	-1.1069413500463932	-0.22348642389782059	0.004369039700458926	0.007812692519917872	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6540	SLC6A13	COAD|NA|NA|hsa:6540	526	NA	9.0	24.0	0.0	-0.8285195320556493	-1.0784155377483093	-0.24663131385024925	4000.0	886849175.0	0.2727272727272727	0.7272727272727273
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	AGMAT	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	0.7008241684993027	0.32705693854393	1.0745913984546756	0.0005802236946511412	0.0012769880459202467	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:79814	AGMAT	COAD|NA|NA|hsa:79814	526	NA	24.0	9.0	0.0	0.5101954600315004	0.33364389039721615	1.04361517139503	4000.0	3097444741.0	0.7272727272727273	0.2727272727272727
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	CNDP1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.755422013160966	-1.2764849306455879	-0.23435909567634416	0.0058533239005065865	0.010048206029202972	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:84735	CNDP1	COAD|NA|NA|hsa:84735	526	NA	13.0	20.0	0.0	-0.7569570693536698	-1.2423229541965302	-0.26529103105879354	4000.0	3732503045.0	0.3939393939393939	0.6060606060606061
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	ALDH7A1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	0.4313601777639726	0.15990961560382444	0.7028107399241208	0.0028108090459138943	0.005321936245020792	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:501	ALDH7A1	COAD|NA|NA|hsa:501	526	NA	25.0	8.0	0.0	0.4200479624102993	0.1692078392154198	0.6865489292605154	4000.0	1292103333.0	0.7575757575757576	0.24242424242424243
