cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	tissue	enrichment	technology	annotation_level	cell_type	support_set	n_cells	n_patients_ge20	detection_fraction_min	detection_fraction_q25	detection_fraction_median	detection_fraction_q75	detection_fraction_max	pseudobulk_CPM_min	pseudobulk_CPM_q25	pseudobulk_CPM_median	pseudobulk_CPM_q75	pseudobulk_CPM_max	target_UMI_min	target_UMI_q25	target_UMI_median	target_UMI_q75	target_UMI_max	library_UMI_min	library_UMI_q25	library_UMI_median	library_UMI_q75	library_UMI_max
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	14	20	median_patient_pseudobulk_CPM	0.5772285640400459	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	B	patients_with_at_least_20_cells	2593	14	0.0	0.0	0.0029411764705882353	0.011382885888814743	0.04739336492890995	0.0	0.0	0.5772285640400459	3.4665144310803804	21.27546407106005	0.0	0.0	0.5	2.0	23.0	69563.0	167061.5	445919.5	819327.75	4515562.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	14	20	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	B	patients_with_at_least_20_cells	2593	14	0.0	0.0	0.0	0.0	0.004739336492890996	0.0	0.0	0.0	0.0	1.1887892419328763	0.0	0.0	0.0	0.0	2.0	69563.0	167061.5	445919.5	819327.75	4515562.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	20	20	median_patient_pseudobulk_CPM	5.2046799507695996	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Epi	patients_with_at_least_20_cells	32899	20	0.07342657342657342	0.13102847904489492	0.1566316083078786	0.2429962057024976	0.462384513858337	2.5567340185356326	3.6672286303193653	5.2046799507695996	10.182923472542843	21.559971598330748	26.0	138.0	439.0	746.5	2143.0	7378107.0	32058272.5	59583129.5	96663407.5	139803915.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	20	20	median_patient_pseudobulk_CPM	0.004545445413241488	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Epi	patients_with_at_least_20_cells	32899	20	0.0	0.0	0.0001830831197363603	0.0011142586245754744	0.0041265474552957355	0.0	0.0	0.004545445413241488	0.02891937192101501	0.09016466953927296	0.0	0.0	0.5	2.25	6.0	7378107.0	32058272.5	59583129.5	96663407.5	139803915.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	8	18	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Mast	patients_with_at_least_20_cells	341	8	0.0	0.0	0.0	0.006756756756756757	0.043478260869565216	0.0	0.0	0.0	2.4789045225134108	10.345398366806444	0.0	0.0	0.0	0.25	3.0	96047.0	104090.25	153815.5	198898.75	388361.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	8	18	median_patient_pseudobulk_CPM	407.9171620133253	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Mast	patients_with_at_least_20_cells	341	8	0.35135135135135137	0.549140708915145	0.603030303030303	0.7842133620689655	0.855072463768116	198.31236180107288	300.81813046418796	407.9171620133253	470.5321923354776	1013.8490399470315	20.0	31.25	57.0	105.25	294.0	96047.0	104090.25	153815.5	198898.75	388361.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	20	20	median_patient_pseudobulk_CPM	0.6850404259712921	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Myeloid	patients_with_at_least_20_cells	7995	20	0.0	0.005641782517615692	0.006983376395456539	0.012139117427075543	0.03544776119402985	0.0	0.46918178164514357	0.6850404259712921	1.508113616624368	3.0322487928893214	0.0	1.75	2.0	7.25	33.0	1362936.0	2172717.75	4595394.0	5858587.25	10883012.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	20	20	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Myeloid	patients_with_at_least_20_cells	7995	20	0.0	0.0	0.0	0.000536480686695279	0.006607929515418502	0.0	0.0	0.0	0.09927085556586869	1.712954406121277	0.0	0.0	0.0	0.5	10.0	1362936.0	2172717.75	4595394.0	5858587.25	10883012.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	11	18	median_patient_pseudobulk_CPM	0.7910985590139747	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Plasma	patients_with_at_least_20_cells	2764	11	0.0	0.0084574370288656	0.017587939698492462	0.022205535292855613	0.05363984674329502	0.0	0.49257749786642824	0.7910985590139747	1.1370222618538413	2.3973743955619806	0.0	1.0	3.0	5.5	20.0	81433.0	1465058.0	2794334.0	5272116.0	25314428.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	11	18	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv3	lineage	Plasma	patients_with_at_least_20_cells	2764	11	0.0	0.0	0.0	0.0036163890843693798	0.005025125628140704	0.0	0.0	0.0	0.19653362928410936	1.0377793183035213	0.0	0.0	0.0	1.0	11.0	81433.0	1465058.0	2794334.0	5272116.0	25314428.0
