gene	annotation_level	eligible_cell_types	highest_median_CPM_cell_type	median_CPM	median_detection	n_qualified_patients	status	reason
NNMT	subtype	26	Stromal::CAFs	942.664374186474	0.9685863874345549	5	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NT5C3A	lineage	9	Epithelial	106.96465924530796	0.38846320259973793	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NT5C3A	midway	3	Epithelial	106.96465924530796	0.38846320259973793	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
NT5C3A	subtype	26	Epithelial::Enterocytes 1	210.7893129818318	0.6839080459770115	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PGAM2	lineage	9	Plasma	1.2321750477159787	0.016265912305516265	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PGAM2	midway	3	Immune	0.5899973613651193	0.002891042780748663	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PGAM2	subtype	26	Immune::Plasma L 1	1.1758480804280087	0.015037593984962405	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PLA2G15	lineage	9	Monocyte	35.28531990764368	0.1509209744503862	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PLA2G15	midway	3	Epithelial	11.020655464624864	0.063082821679737	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PLA2G15	subtype	26	Immune::Monocyte 2	66.83398863822192	0.4117647058823529	9	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PRMT7	lineage	9	Epithelial	24.90282674855452	0.13089477805712402	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PRMT7	midway	3	Epithelial	24.90282674855452	0.13089477805712402	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
PRMT7	subtype	26	Epithelial::Imma. Gob. 1	41.63999104740193	0.0784313725490196	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC15A3	lineage	9	Monocyte	149.3360831690937	0.4809605001420858	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC15A3	midway	3	Immune	29.99128789087421	0.07774325965284995	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC15A3	subtype	26	Immune::Monocyte 2	229.2118693131087	0.7222222222222222	9	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC29A1	lineage	9	Endothelial	102.91641499947698	0.4864864864864865	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC29A1	midway	3	Stromal	35.581712922893466	0.16460176991150444	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC29A1	subtype	26	Stromal::Endothelial	102.91641499947698	0.4864864864864865	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC29A3	lineage	9	Monocyte	1.0911592598135769	0.0070826722109755425	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC29A3	midway	3	Epithelial	0.8669286433734953	0.005082942097026604	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC29A3	subtype	26	Immune::Monocyte 2	1.876605670727016	0.01694915254237288	9	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC38A3	lineage	9	Epithelial	0.1496721463913753	0.0009390042861852951	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC38A3	midway	3	Epithelial	0.1496721463913753	0.0009390042861852951	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC38A3	subtype	26	NO_POSITIVE_MEDIAN	0.0	0.0	NA	NOT_EVALUABLE	All eligible medians zero;does not imply no expressing cells
SLC6A17	lineage	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
SLC6A17	midway	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
SLC6A17	subtype	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
SLC6A6	lineage	9	Endothelial	87.18243796969539	0.2553191489361702	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC6A6	midway	3	Stromal	94.24345584982592	0.18333333333333332	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC6A6	subtype	26	Stromal::Endothelial	87.18243796969539	0.2553191489361702	7	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC7A8	lineage	9	Monocyte	51.00420820853984	0.155392625053842	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC7A8	midway	3	Epithelial	37.18373940985987	0.15575331125827815	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
SLC7A8	subtype	26	Immune::Monocyte 2	117.57003018306465	0.4888888888888889	9	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UAP1	lineage	9	Epithelial	81.43904303623316	0.32093056033194833	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UAP1	midway	3	Epithelial	81.43904303623316	0.32093056033194833	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UAP1	subtype	26	Epithelial::Imma. Gob. 2	148.25889436319684	0.5	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UCKL1	lineage	9	Epithelial	49.78995636284274	0.21428947231424778	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UCKL1	midway	3	Epithelial	49.78995636284274	0.21428947231424778	12	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UCKL1	subtype	26	Epithelial::TC2	100.130169219986	0.17391304347826086	11	DONE	Descriptive highest median among covered types;not specificity,contribution or function
UPP2	lineage	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
UPP2	midway	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
UPP2	subtype	0	NA	NA	NA	NA	NOT_EVALUABLE	Missing source row or insufficient coverage;not measured zero
