group	bin	lower	upper	n_cells
tumor_CNN	94	9.4	9.5	0
tumor_CNN	95	9.5	9.6	0
tumor_CNN	96	9.6	9.700000000000001	0
tumor_CNN	97	9.700000000000001	9.8	0
tumor_CNN	98	9.8	9.9	0
tumor_CNN	99	9.9	10.0	0
tumor_CNN	100	10.0	inf	0
normal_reference	zero	0.0	0.0	15978
normal_reference	0	0.0	0.1	0
normal_reference	1	0.1	0.2	0
normal_reference	2	0.2	0.30000000000000004	0
normal_reference	3	0.30000000000000004	0.4	1
normal_reference	4	0.4	0.5	4
normal_reference	5	0.5	0.6	12
normal_reference	6	0.6	0.7000000000000001	12
normal_reference	7	0.7000000000000001	0.8	8
normal_reference	8	0.8	0.9	10
normal_reference	9	0.9	1.0	12
normal_reference	10	1.0	1.1	9
normal_reference	11	1.1	1.2000000000000002	10
normal_reference	12	1.2000000000000002	1.3000000000000003	12
normal_reference	13	1.3000000000000003	1.4000000000000001	4
normal_reference	14	1.4000000000000001	1.5000000000000002	6
normal_reference	15	1.5000000000000002	1.6	7
normal_reference	16	1.6	1.7000000000000002	11
normal_reference	17	1.7000000000000002	1.8000000000000003	9
normal_reference	18	1.8000000000000003	1.9000000000000001	4
normal_reference	19	1.9000000000000001	2.0	5
normal_reference	20	2.0	2.1	3
normal_reference	21	2.1	2.2	2
normal_reference	22	2.2	2.3000000000000003	1
normal_reference	23	2.3000000000000003	2.4000000000000004	4
normal_reference	24	2.4000000000000004	2.5000000000000004	3
normal_reference	25	2.5000000000000004	2.6	4
normal_reference	26	2.6	2.7	3
normal_reference	27	2.7	2.8000000000000003	2
normal_reference	28	2.8000000000000003	2.9000000000000004	2
normal_reference	29	2.9000000000000004	3.0000000000000004	0
normal_reference	30	3.0000000000000004	3.1	0
normal_reference	31	3.1	3.2	0
normal_reference	32	3.2	3.3000000000000003	0
normal_reference	33	3.3000000000000003	3.4000000000000004	0
normal_reference	34	3.4000000000000004	3.5000000000000004	0
normal_reference	35	3.5000000000000004	3.6	0
normal_reference	36	3.6	3.7	0
normal_reference	37	3.7	3.8000000000000003	0
normal_reference	38	3.8000000000000003	3.9000000000000004	0
normal_reference	39	3.9000000000000004	4.0	0
normal_reference	40	4.0	4.1	0
normal_reference	41	4.1	4.2	0
normal_reference	42	4.2	4.3	0
normal_reference	43	4.3	4.3999999999999995	0
normal_reference	44	4.3999999999999995	4.5	0
normal_reference	45	4.5	4.6	0
normal_reference	46	4.6	4.7	0
normal_reference	47	4.7	4.8	0
normal_reference	48	4.8	4.9	0
normal_reference	49	4.9	5.0	0
normal_reference	50	5.0	5.1	0
normal_reference	51	5.1	5.2	0
normal_reference	52	5.2	5.3	0
normal_reference	53	5.3	5.4	0
normal_reference	54	5.4	5.5	0
normal_reference	55	5.5	5.6	0
normal_reference	56	5.6	5.7	0
normal_reference	57	5.7	5.8	0
normal_reference	58	5.8	5.9	0
normal_reference	59	5.9	6.0	0
normal_reference	60	6.0	6.1	0
normal_reference	61	6.1	6.2	0
normal_reference	62	6.2	6.3	0
normal_reference	63	6.3	6.4	0
normal_reference	64	6.4	6.5	0
normal_reference	65	6.5	6.6	0
normal_reference	66	6.6	6.7	0
normal_reference	67	6.7	6.8	0
normal_reference	68	6.8	6.9	0
normal_reference	69	6.9	7.0	0
normal_reference	70	7.0	7.1	0
normal_reference	71	7.1	7.2	0
normal_reference	72	7.2	7.3	0
normal_reference	73	7.3	7.4	0
normal_reference	74	7.4	7.5	0
normal_reference	75	7.5	7.6	0
normal_reference	76	7.6	7.7	0
normal_reference	77	7.7	7.8	0
normal_reference	78	7.8	7.9	0
normal_reference	79	7.9	8.0	0
normal_reference	80	8.0	8.1	0
normal_reference	81	8.1	8.2	0
normal_reference	82	8.2	8.3	0
normal_reference	83	8.3	8.4	0
normal_reference	84	8.4	8.5	0
normal_reference	85	8.5	8.6	0
normal_reference	86	8.6	8.7	0
normal_reference	87	8.7	8.8	0
normal_reference	88	8.8	8.9	0
normal_reference	89	8.9	9.0	0
normal_reference	90	9.0	9.1	0
normal_reference	91	9.1	9.2	0
normal_reference	92	9.2	9.3	0
normal_reference	93	9.3	9.4	0
normal_reference	94	9.4	9.5	0
normal_reference	95	9.5	9.6	0
normal_reference	96	9.6	9.700000000000001	0
normal_reference	97	9.700000000000001	9.8	0
normal_reference	98	9.8	9.9	0
normal_reference	99	9.9	10.0	0
normal_reference	100	10.0	inf	0
